State,Beneficiaries,Funds_Allocated,Funds_Spent,Scheme,Insurance_Coverage_Percent,Year
Rajasthan,191971.0,5891.46,4693.97,PM Awas Yojana,86.06666666666666,2025
Tamil Nadu,570294.0,11185.3,10135.67,PM Awas Yojana,66.33333333333333,2025
Telangana,224659.0,4475.66,3718.27,PM Awas Yojana,59.56666666666666,2025
Uttar Pradesh,1547101.0,27962.68,26065.17,PM Awas Yojana,16.066666666666666,2025
Uttarakhand,34504.0,1176.51,940.86,PM Awas Yojana,62.333333333333336,2025
West Bengal,400257.0,10773.5,7675.93,PM Awas Yojana,28.45,2025
Arunachal Pradesh,7753.0,182.38,161.18,PM Awas Yojana,30.46666666666667,2025
Assam,102712.0,2674.26,2065.73,PM Awas Yojana,57.333333333333336,2025
Manipur,14699.0,841.39,471.91,PM Awas Yojana,13.933333333333332,2025
Meghalaya,1632.0,72.35,43.31,PM Awas Yojana,60.93333333333334,2025
Mizoram,11069.0,607.8,447.22,PM Awas Yojana,46.8,2025
Nagaland,22850.0,503.91,393.41,PM Awas Yojana,19.53333333333333,2025
Sikkim,202.0,6.13,7.09,PM Awas Yojana,26.166666666666668,2025
Tripura,74049.0,1494.35,1273.47,PM Awas Yojana,31.46666666666667,2025
Andaman and Nicobar Islands,47.0,5.84,2.93,PM Awas Yojana,0.0,2025
Chandigarh,1256.0,28.78,28.78,PM Awas Yojana,32.25,2025
Dadra and Nagar Haveli and Daman and Diu,9230.0,214.4,200.27,PM Awas Yojana,0.0,2025
NCT of Delhi,29976.0,692.53,692.53,PM Awas Yojana,25.7,2025
Jammu and Kashmir,24244.0,724.94,483.48,PM Awas Yojana,0.0,2025
Ladakh,843.0,30.22,24.05,PM Awas Yojana,17.9,2025
Lakshadweep,0.0,0.0,0.0,PM Awas Yojana,61.73333333333333,2025
Puducherry,9994.0,254.12,223.19,PM Awas Yojana,30.2,2025
Andaman and Nicobar Islands,13001.0,4247.24,4136.02,PM Kisan,0.0,2025
Andhra Pradesh,4008666.0,7704.29,7284.49,PM Kisan,68.7,2025
Arunachal Pradesh,60062.0,6391.96,5464.04,PM Kisan,30.46666666666667,2025
Assam,517565.0,5591.95,4571.87,PM Kisan,57.333333333333336,2025
Bihar,7315621.0,2936.11,2710.51,PM Kisan,13.766666666666666,2025
Chhattisgarh,1930037.0,2935.97,2581.39,PM Kisan,70.76666666666667,2025
NCT of Delhi,12434.0,2348.5,1930.39,PM Kisan,25.7,2025
Goa,5894.0,7197.06,6399.14,PM Kisan,66.2,2025
Gujarat,4336927.0,5606.69,4520.06,PM Kisan,38.8,2025
Haryana,1430639.0,6248.44,6021.48,PM Kisan,26.066666666666663,2025
Himachal Pradesh,637148.0,2123.51,1797.72,PM Kisan,35.233333333333334,2025
Jammu and Kashmir,638979.0,7819.46,7188.07,PM Kisan,0.0,2025
Jharkhand,1151655.0,6994.66,5988.18,PM Kisan,48.333333333333336,2025
Karnataka,4837118.0,3274.03,2925.71,PM Kisan,28.100000000000005,2025
Kerala,2099819.0,3090.95,2776.93,PM Kisan,51.36666666666667,2025
Ladakh,12500.0,3100.43,2583.51,PM Kisan,17.9,2025
Lakshadweep,725.0,3825.45,3728.0,PM Kisan,61.73333333333333,2025
Madhya Pradesh,7061480.0,5148.54,4837.18,PM Kisan,38.76666666666666,2025
Maharashtra,8036583.0,4591.67,4449.83,PM Kisan,0.0,2025
Meghalaya,5923.0,3747.37,3601.48,PM Kisan,60.93333333333334,2025
Mizoram,39927.0,5671.12,5147.23,PM Kisan,46.8,2025
Nagaland,113147.0,2836.96,2740.33,PM Kisan,19.53333333333333,2025
Odisha,2310654.0,3752.87,3062.07,PM Kisan,43.03333333333333,2025
Puducherry,9096.0,4198.17,3506.63,PM Kisan,30.2,2025
Punjab,788772.0,4736.42,3827.69,PM Kisan,25.433333333333334,2025
Rajasthan,5337105.0,6711.06,5761.84,PM Kisan,86.06666666666666,2025
Sikkim,2349.0,3198.04,2782.17,PM Kisan,26.166666666666668,2025
Tamil Nadu,2014599.0,5085.41,4316.71,PM Kisan,66.33333333333333,2025
Telangana,2974058.0,5554.49,5272.17,PM Kisan,59.56666666666666,2025
Dadra and Nagar Haveli and Daman and Diu,11390.0,2278.7,1969.29,PM Kisan,0.0,2025
Tripura,210606.0,5645.27,4801.69,PM Kisan,31.46666666666667,2025
Uttar Pradesh,17205339.0,3023.14,2713.83,PM Kisan,16.066666666666666,2025
Uttarakhand,711497.0,2390.31,1972.88,PM Kisan,62.333333333333336,2025
West Bengal,4251512.0,7693.31,7265.53,PM Kisan,28.45,2025
Andaman and Nicobar Islands,1600305.0,1915.16,1415.08,Jal Jeevan Mission,0.0,2025
Andhra Pradesh,3018661.0,3760.58,3571.89,Jal Jeevan Mission,0.0,2025
Arunachal Pradesh,3412115.0,3328.15,2875.51,Jal Jeevan Mission,0.0,2025
Assam,1746346.0,2614.03,1844.92,Jal Jeevan Mission,0.0,2025
Bihar,1107145.0,1079.26,919.94,Jal Jeevan Mission,0.0,2025
Chandigarh,6739.0,5.0,4.62,Jal Jeevan Mission,0.0,2025
Chhattisgarh,833591.0,1136.43,812.34,Jal Jeevan Mission,0.0,2025
Dadra and Nagar Haveli and Daman and Diu,650952.0,892.44,778.07,Jal Jeevan Mission,0.0,2025
Goa,2827161.0,3125.64,2640.23,Jal Jeevan Mission,0.0,2025
Gujarat,2575277.0,2216.11,1809.98,Jal Jeevan Mission,0.0,2025
Haryana,1691988.0,2451.03,1807.18,Jal Jeevan Mission,0.0,2025
Himachal Pradesh,634499.0,983.33,703.88,Jal Jeevan Mission,0.0,2025
Jammu and Kashmir,3088592.0,3917.87,3155.26,Jal Jeevan Mission,0.0,2025
Jharkhand,3305020.0,3525.46,2514.48,Jal Jeevan Mission,0.0,2025
Karnataka,1211136.0,1347.24,1054.84,Jal Jeevan Mission,0.0,2025
Kerala,1723323.0,1563.02,1394.09,Jal Jeevan Mission,0.0,2025
Ladakh,954848.0,1489.36,1044.17,Jal Jeevan Mission,0.0,2025
Lakshadweep,1671076.0,1904.34,1788.78,Jal Jeevan Mission,0.0,2025
Madhya Pradesh,2327406.0,2218.2,2169.22,Jal Jeevan Mission,0.0,2025
Maharashtra,1776732.0,1770.3,1525.24,Jal Jeevan Mission,0.0,2025
Manipur,3659.0,5.0,4.45,Jal Jeevan Mission,0.0,2025
Meghalaya,2360039.0,1927.04,1887.7,Jal Jeevan Mission,0.0,2025
Mizoram,2514764.0,2115.99,1860.1,Jal Jeevan Mission,0.0,2025
NCT of Delhi,1023461.0,979.19,939.42,Jal Jeevan Mission,0.0,2025
Nagaland,908448.0,1017.55,814.94,Jal Jeevan Mission,0.0,2025
Odisha,1143990.0,1559.95,1140.18,Jal Jeevan Mission,0.0,2025
Puducherry,2512991.0,1935.12,1806.0,Jal Jeevan Mission,0.0,2025
Punjab,2614849.0,2392.95,2331.52,Jal Jeevan Mission,0.0,2025
Rajasthan,2657865.0,2591.24,2367.0,Jal Jeevan Mission,0.0,2025
Sikkim,1207137.0,1432.9,1348.98,Jal Jeevan Mission,0.0,2025
Tamil Nadu,2497171.0,2563.19,2505.3,Jal Jeevan Mission,0.0,2025
Telangana,1633743.0,2058.95,1543.34,Jal Jeevan Mission,0.0,2025
Tripura,2470602.0,2403.2,2254.66,Jal Jeevan Mission,0.0,2025
Uttar Pradesh,1400682.0,1103.33,967.9,Jal Jeevan Mission,0.0,2025
Uttarakhand,1135200.0,1047.17,804.89,Jal Jeevan Mission,0.0,2025
West Bengal,3951937.0,4001.25,3127.06,Jal Jeevan Mission,0.0,2025
Andaman and Nicobar Islands,222536.0,2502.6,2365.56,MGNREGA,0.0,2025
Andhra Pradesh,532956.0,4320.54,4087.93,MGNREGA,0.0,2025
Arunachal Pradesh,377781.0,3029.2,2921.07,MGNREGA,0.0,2025
Assam,296079.0,2941.25,3086.35,MGNREGA,0.0,2025
Bihar,163089.0,1699.74,1566.61,MGNREGA,0.0,2025
Chandigarh,920.0,8.0,8.5,MGNREGA,0.0,2025
Chhattisgarh,206314.0,1797.26,1849.59,MGNREGA,0.0,2025
Dadra and Nagar Haveli and Daman and Diu,163705.0,1123.19,1211.14,MGNREGA,0.0,2025
Goa,411921.0,3767.73,3265.54,MGNREGA,0.0,2025
Gujarat,311082.0,2816.26,2800.32,MGNREGA,0.0,2025
Haryana,315093.0,3379.11,3291.02,MGNREGA,0.0,2025
Himachal Pradesh,126618.0,1281.5,1138.56,MGNREGA,0.0,2025
Jammu and Kashmir,287007.0,3402.1,3531.48,MGNREGA,0.0,2025
Jharkhand,454787.0,4228.08,4157.05,MGNREGA,0.0,2025
Karnataka,178922.0,1712.62,1475.31,MGNREGA,0.0,2025
Kerala,145049.0,1938.74,1745.15,MGNREGA,0.0,2025
Ladakh,240173.0,1795.49,1769.24,MGNREGA,0.0,2025
Lakshadweep,252585.0,1930.25,1813.66,MGNREGA,0.0,2025
Madhya Pradesh,385663.0,3159.52,3331.43,MGNREGA,0.0,2025
Maharashtra,256667.0,2369.94,2354.06,MGNREGA,0.0,2025
Manipur,711.0,8.0,7.67,MGNREGA,0.0,2025
Meghalaya,221055.0,2402.27,2316.13,MGNREGA,0.0,2025
Mizoram,279799.0,2813.27,3036.32,MGNREGA,0.0,2025
NCT of Delhi,157259.0,1413.21,1413.95,MGNREGA,0.0,2025
Nagaland,123841.0,1399.97,1416.06,MGNREGA,0.0,2025
Odisha,301865.0,2244.58,2186.18,MGNREGA,0.0,2025
Puducherry,202146.0,2074.49,1884.88,MGNREGA,0.0,2025
Punjab,266727.0,2170.77,2097.76,MGNREGA,0.0,2025
Rajasthan,466390.0,4153.84,3905.93,MGNREGA,0.0,2025
Sikkim,176031.0,1429.2,1347.46,MGNREGA,0.0,2025
Tamil Nadu,237535.0,3005.69,2589.73,MGNREGA,0.0,2025
Telangana,423472.0,3277.88,3422.95,MGNREGA,0.0,2025
Tripura,270928.0,2657.02,2558.29,MGNREGA,0.0,2025
Uttar Pradesh,208110.0,1670.81,1575.66,MGNREGA,0.0,2025
Uttarakhand,127772.0,1219.54,1248.69,MGNREGA,0.0,2025
West Bengal,437595.0,4172.09,4034.16,MGNREGA,0.0,2025
